"","Post","Entity","Position","Type","message"
"449","1378","Wednesday","182","Date","Upcoming #COVID19 vaccination availability on-campus for #WesternU students, employees &amp; alumni: 
Monday, Aug. 16 – 9 a.m. to 4:00 p.m. 
Tuesday, Aug. 17 – 9 a.m. to 4:00 p.m. 
Wednesday, Aug. 18 – 9 a.m. to 4:00 p.m. 
#takecaregettheshot https://t.co/wRnrrbudwo"
"450","1379","Ontario Human Rights Code","275","Organization","@MrRobBull @kingsatwestern @huronatwestern @BresciaUC We will provide more details in the coming days about proof of vaccination and testing, including information for those who require an accommodation as the result of a medical condition or other grounds protected by the Ontario Human Rights Code."
"451","1381","Amy Steggles","22","Person","#WesternU music grad Amy Steggles is helping #COVID19 'long haulers' rediscover their breath, improve their well-being, and connect with other people living with post-COVID syndrome through an online coaching program. @westernuMusic #postcovidsyndrome https://t.co/BGzrK4e3wU"
"452","1382","2010","34","Date","RT @SchulichMedDent : “April 25, 2010. That was the last soccer game I played. My career ended. I was 38 years old. Concussion chose me, and it changed my life forever.” Keynote speaker @BriScurry, two-time Olympic gold medalist and World Cup champion with @USWNT, shares her story at #SeeTheLine. https://t.co/eovyGfzXEr"
"453","1383","Ontario Human Rights Code","243","Organization","@SteveKerfoot @andpru We will provide more details in the coming days about proof of vaccination and testing, including information for those who require an accommodation as the result of a medical condition or other grounds protected by the Ontario Human Rights Code."
"454","1384","today","65","Date","RT @SchulichMedDent : We’re proud to host #SeeTheLine virtually today, supporting #concussion research and education. “See the Line continues to bring together partners and researchers who are changing and challenging the way we look at and treat concussions,” says @88EricLindros, Honorary Chair."
"455","1385","Canada","73","Location","What if there was a rapid, remote, real-time way to check the health of Canada's aging bridges? @westernuEng prof Ayan Sadhu, exploring bridge safety through #AI, is one of nine #WesternU researchers awarded $2.6M from @InnovationCA #CFIfunded #JELF https://t.co/U9nwYe1l3P"
"456","1385","$2.6M from","209","Money","What if there was a rapid, remote, real-time way to check the health of Canada's aging bridges? @westernuEng prof Ayan Sadhu, exploring bridge safety through #AI, is one of nine #WesternU researchers awarded $2.6M from @InnovationCA #CFIfunded #JELF https://t.co/U9nwYe1l3P"
"457","1387","King","42","Person","@CelinaDeLancey Western is together with King's, Huron &amp; Brescia on our new vaccine policy: https://t.co/X60P7YXMgh"
"458","1389","this fall","131","Date","#COVID19 Update: All #WesternU, @kingsatwestern, @huronatwestern, @BresciaUC students, staff and faculty who plan to be on campus this fall will be required to demonstrate proof of vaccination. https://t.co/X60P7YXMgh"
"459","1390","Ontario","148","Location","#WesternU and #LdnOnt continue to lead health research and #innovation - now with a $10 million boost from @FedDevOntario and the new southwestern Ontario health tech hub leading the way for @Canada ???? @pfragiskatos @melaniejoly @SchulichMedDent https://t.co/FuPyL8HB7X"
"460","1390","$10 million","85","Money","#WesternU and #LdnOnt continue to lead health research and #innovation - now with a $10 million boost from @FedDevOntario and the new southwestern Ontario health tech hub leading the way for @Canada ???? @pfragiskatos @melaniejoly @SchulichMedDent https://t.co/FuPyL8HB7X"
"461","1392","Webb","89","Person","RT @csa_asc : “I am absolutely thrilled about the observations of the Orion Nebula that Webb will take.” Els Peeters, professor @WesternU. Get inspired by the story of an expert behind Canada’s participation in @NASAWebb: https://t.co/8dalVrOSaj https://t.co/AXkhhZKifE"
"462","1392","Els Peeters","106","Person","RT @csa_asc : “I am absolutely thrilled about the observations of the Orion Nebula that Webb will take.” Els Peeters, professor @WesternU. Get inspired by the story of an expert behind Canada’s participation in @NASAWebb: https://t.co/8dalVrOSaj https://t.co/AXkhhZKifE"
"463","1393","Canadian Space Agency","41","Organization","RT @univcan : Out of this world ??

The Canadian Space Agency granted over $1 million to a research team from @UBishops and @WesternU  in developing a new telescope to gain more understanding about space!

Read more about it here ?? https://t.co/YvNRdfsggW

#UnivResearch #CdnPSE"
"464","1393","$1 million","76","Money","RT @univcan : Out of this world ??

The Canadian Space Agency granted over $1 million to a research team from @UBishops and @WesternU  in developing a new telescope to gain more understanding about space!

Read more about it here ?? https://t.co/YvNRdfsggW

#UnivResearch #CdnPSE"
"465","1395","Olympic Gold","45","Organization","Four ??!

London athletes are bringing home Olympic Gold x4! #Tokyo2020

We are #soproud to call this city home, and to cheer for so many amazing #LdnOnt and #WesternU athletes. https://t.co/IMHWsbkK5h"
"466","1395","London","11","Location","Four ??!

London athletes are bringing home Olympic Gold x4! #Tokyo2020

We are #soproud to call this city home, and to cheer for so many amazing #LdnOnt and #WesternU athletes. https://t.co/IMHWsbkK5h"
"467","1396","Denis Vida","156","Person","The Perseid meteor shower peaks this week on Aug. 12 - 13, and the stars are aligning for a really big show, according to #WesternU postdoctoral associate Denis Vida @meteordoc. Here's what you need to know to see this celestial show. #PerseidMeteorShower https://t.co/SBaAQYhcka"
"468","1396","this week","33","Date","The Perseid meteor shower peaks this week on Aug. 12 - 13, and the stars are aligning for a really big show, according to #WesternU postdoctoral associate Denis Vida @meteordoc. Here's what you need to know to see this celestial show. #PerseidMeteorShower https://t.co/SBaAQYhcka"
"469","1397","Diana Lewis","17","Person","RT @CIHR_IRSC : Diana Lewis @WesternU is evaluating the health impacts of industrial development on #Indigenous communities.

Learn more about her work ??  #IndigenousPeoplesDay https://t.co/p48rHiNZSh"
"470","14","March 21","1","Date","March 21 is known around the world as the International Day for Elimination of Racial Discrimination.  

#WesternU stands with our community to address and dismantle racism.  
@westernuSE @westernuIntl #FightRacism https://t.co/xgRqV9bX3p"
"471","140","Student Central","163","Organization","RT @westernuReg : Congratulations to our new graduates! Diploma pickup will begin Monday, February 28 at 10:00 a.m. until Friday, March 11, 2022, at 4:00 p.m. in Student Central. For office hours visit:  https://t.co/gaznj0Qcwt #westernu https://t.co/DGkI4LxfES"
"472","140","Monday","83","Date","RT @westernuReg : Congratulations to our new graduates! Diploma pickup will begin Monday, February 28 at 10:00 a.m. until Friday, March 11, 2022, at 4:00 p.m. in Student Central. For office hours visit:  https://t.co/gaznj0Qcwt #westernu https://t.co/DGkI4LxfES"
"473","140","February 28 at 10:00","91","Date","RT @westernuReg : Congratulations to our new graduates! Diploma pickup will begin Monday, February 28 at 10:00 a.m. until Friday, March 11, 2022, at 4:00 p.m. in Student Central. For office hours visit:  https://t.co/gaznj0Qcwt #westernu https://t.co/DGkI4LxfES"
"474","140","Friday","123","Date","RT @westernuReg : Congratulations to our new graduates! Diploma pickup will begin Monday, February 28 at 10:00 a.m. until Friday, March 11, 2022, at 4:00 p.m. in Student Central. For office hours visit:  https://t.co/gaznj0Qcwt #westernu https://t.co/DGkI4LxfES"
"475","140","March 11, 2022","131","Date","RT @westernuReg : Congratulations to our new graduates! Diploma pickup will begin Monday, February 28 at 10:00 a.m. until Friday, March 11, 2022, at 4:00 p.m. in Student Central. For office hours visit:  https://t.co/gaznj0Qcwt #westernu https://t.co/DGkI4LxfES"
"476","1400","fall","132","Date","@Sam12511077 The survey will help gauge vaccination rates and inform health and safety measures as the university prepares for the fall term. More details available here: https://t.co/oSDJ72HEgb"
"477","1401","Diana Lewis","47","Person","Congratulations to @westernuSocSci researcher Diana Lewis, awarded $1.3M from @CIHR_IRSC for her work co-developing environmental health risk assessments for Indigenous communities living near industrial sites. https://t.co/1kNUnngHU0"
"478","1401","$1.3M","68","Money","Congratulations to @westernuSocSci researcher Diana Lewis, awarded $1.3M from @CIHR_IRSC for her work co-developing environmental health risk assessments for Indigenous communities living near industrial sites. https://t.co/1kNUnngHU0"
"479","1402","Today","1","Date","Today is the last day to participate in the #WesternU community vaccination survey for all faculty, staff and students. If you haven’t already, be sure to fill out the single-question survey sent to your Western email. https://t.co/KcSalsKdUt"
"480","1404","Monday","71","Date","Upcoming #COVID19 testing hours for #WesternU students and employees:
Monday, Aug. 9 to Wednesday, Aug. 11 – 9 a.m. to 1 p.m.
Thursday, Aug. 12 – 9 a.m. to 4 p.m.
Friday, Aug. 13 – 9 a.m. to 1 p.m.
Saturday, Aug. 14 – 9 a.m. to 4 p.m.
https://t.co/wRnrrbudwo"
"481","1404","Wednesday","89","Date","Upcoming #COVID19 testing hours for #WesternU students and employees:
Monday, Aug. 9 to Wednesday, Aug. 11 – 9 a.m. to 1 p.m.
Thursday, Aug. 12 – 9 a.m. to 4 p.m.
Friday, Aug. 13 – 9 a.m. to 1 p.m.
Saturday, Aug. 14 – 9 a.m. to 4 p.m.
https://t.co/wRnrrbudwo"
"482","1404","Thursday","127","Date","Upcoming #COVID19 testing hours for #WesternU students and employees:
Monday, Aug. 9 to Wednesday, Aug. 11 – 9 a.m. to 1 p.m.
Thursday, Aug. 12 – 9 a.m. to 4 p.m.
Friday, Aug. 13 – 9 a.m. to 1 p.m.
Saturday, Aug. 14 – 9 a.m. to 4 p.m.
https://t.co/wRnrrbudwo"
"483","1404","Friday","164","Date","Upcoming #COVID19 testing hours for #WesternU students and employees:
Monday, Aug. 9 to Wednesday, Aug. 11 – 9 a.m. to 1 p.m.
Thursday, Aug. 12 – 9 a.m. to 4 p.m.
Friday, Aug. 13 – 9 a.m. to 1 p.m.
Saturday, Aug. 14 – 9 a.m. to 4 p.m.
https://t.co/wRnrrbudwo"
"484","1404","Saturday","199","Date","Upcoming #COVID19 testing hours for #WesternU students and employees:
Monday, Aug. 9 to Wednesday, Aug. 11 – 9 a.m. to 1 p.m.
Thursday, Aug. 12 – 9 a.m. to 4 p.m.
Friday, Aug. 13 – 9 a.m. to 1 p.m.
Saturday, Aug. 14 – 9 a.m. to 4 p.m.
https://t.co/wRnrrbudwo"
"485","1405","Saturday","103","Date","Upcoming #COVID19 vaccination availability on-campus for #WesternU students, employees &amp; alumni: 
Saturday, Aug. 7 – 9 a.m. to 4:30 p.m.
Thursday, Aug. 12 – 9 a.m. to 3:30 p.m.
Friday, Aug. 13 – 9 a.m. to 1:00 p.m.
Saturday, Aug. 14 – 9 a.m. to 4:30 p.m.
https://t.co/wRnrrbudwo https://t.co/aybUol9F1u"
"486","1405","Thursday","142","Date","Upcoming #COVID19 vaccination availability on-campus for #WesternU students, employees &amp; alumni: 
Saturday, Aug. 7 – 9 a.m. to 4:30 p.m.
Thursday, Aug. 12 – 9 a.m. to 3:30 p.m.
Friday, Aug. 13 – 9 a.m. to 1:00 p.m.
Saturday, Aug. 14 – 9 a.m. to 4:30 p.m.
https://t.co/wRnrrbudwo https://t.co/aybUol9F1u"
"487","1405","Friday","182","Date","Upcoming #COVID19 vaccination availability on-campus for #WesternU students, employees &amp; alumni: 
Saturday, Aug. 7 – 9 a.m. to 4:30 p.m.
Thursday, Aug. 12 – 9 a.m. to 3:30 p.m.
Friday, Aug. 13 – 9 a.m. to 1:00 p.m.
Saturday, Aug. 14 – 9 a.m. to 4:30 p.m.
https://t.co/wRnrrbudwo https://t.co/aybUol9F1u"
"488","1405","Saturday","220","Date","Upcoming #COVID19 vaccination availability on-campus for #WesternU students, employees &amp; alumni: 
Saturday, Aug. 7 – 9 a.m. to 4:30 p.m.
Thursday, Aug. 12 – 9 a.m. to 3:30 p.m.
Friday, Aug. 13 – 9 a.m. to 1:00 p.m.
Saturday, Aug. 14 – 9 a.m. to 4:30 p.m.
https://t.co/wRnrrbudwo https://t.co/aybUol9F1u"
"489","1408","LdnOnt","160","Person","GOLD! ???????? From the edge of our seats to ON OUR FEET! Congratulations @TeamCanada Women's Soccer, @sincy12 and Londoners @Shelina4 &amp; @_jessiefleming! #LdnOnt is owning the podium at #Tokyo2020 #ForestCityPride https://t.co/fro2h9OvSx"
"490","1409","Samantha Joel","65","Person","Breaking up really is hard to do, according to new study led by Samantha Joel @datingdecisions. For most of us, just ""being"" in a relationship is the thing. https://t.co/FtIL7qug33"
"491","141","$","160","Money","From profiling diseases to developing next-generation, solid-state lithium-ion batteries, some innovative #WesternU research projects have received a total of $1.25M in federal funding from @InnovationCA. @SchulichMedDent @westernuEng @westernuFHS https://t.co/w20D562sdB"
"492","1410","Canada","130","Location","Tracking #wildfire smoke across the continent is an aim of a network of micro-pulse lidars installed across eastern and northern Canada, including one at #WesternU campus. The work is significant for detecting potential health hazards in the air. https://t.co/AAVDpbCWbs"
"493","1411","Samantha Joel","243","Person","RT @westernuSocSci : Breaking up is hard to do! When making decisions about what to do w/their romantic relationships, people are typically inclined to move relationships forward rather than end them, according to a paper by @westernuPsych's Samantha Joel @datingdecisions https://t.co/f47Gi7s97S"
"494","1412","today","188","Date","RT @PaolaMHunter : Congrats @DamianWarner!! When I was a student @WesternU I would go skating at Thompson arena in between classes and watch Damian train! Very exciting to see it pay off today!!! https://t.co/ngFs96oHch"
"495","1413","September","89","Date","RT @eyeonthefly : Hey @WesternU community, I'm helping to organize a campus cleanup for September after orientation week. We want to target where litter accumulates while prioritizing green spaces and the river. Can you suggest areas where volunteers should clean up? Please reply or send me a DM! https://t.co/WD6tAOG9aj"
"496","1415","Tokyo2020","188","Date","Women are owning the podium for Canada at the Tokyo Olympics, and celebrating their success in sport benefits future generations, according to #WesternU prof @JaneSThornton. #WomenPower #Tokyo2020 https://t.co/y9w9A7zl38"
"497","1415","Canada","33","Location","Women are owning the podium for Canada at the Tokyo Olympics, and celebrating their success in sport benefits future generations, according to #WesternU prof @JaneSThornton. #WomenPower #Tokyo2020 https://t.co/y9w9A7zl38"
"498","1415","Tokyo","47","Location","Women are owning the podium for Canada at the Tokyo Olympics, and celebrating their success in sport benefits future generations, according to #WesternU prof @JaneSThornton. #WomenPower #Tokyo2020 https://t.co/y9w9A7zl38"
"499","1416","this September","94","Date","With Ontario's elementary and secondary schools looking at full return to in-person learning this September, the burden of keeping them open should not just fall on schools. Community-level mitigation is key, says #WesternU prof @PrachiSrivas. https://t.co/AtDe86R4wc"
"500","1417","Dr. Lisa Fischer","213","Person","Huge congratulations to Londoner @DamianWarner, Olympic gold medallist winner in #Tokyo2020. #PurpleAndProud of the many Mustangs standing behind him this year, including @WesternMustangs very own @Coach_Croley, Dr. Lisa Fischer from @FKSMC and many more! #ldnont https://t.co/9C6NorXlrc"
"501","1417","this year","151","Date","Huge congratulations to Londoner @DamianWarner, Olympic gold medallist winner in #Tokyo2020. #PurpleAndProud of the many Mustangs standing behind him this year, including @WesternMustangs very own @Coach_Croley, Dr. Lisa Fischer from @FKSMC and many more! #ldnont https://t.co/9C6NorXlrc"
"502","1418","today","180","Date","Extra doses of the Moderna vaccine are available to #WesternU students, employees and alumni for walk-in appointments at the on-campus vaccination and testing centre until 4 p.m. today and from 9 to 11:30 a.m. tomorrow. https://t.co/wRnrrbudwo"
"503","1418","11:30","200","Date","Extra doses of the Moderna vaccine are available to #WesternU students, employees and alumni for walk-in appointments at the on-campus vaccination and testing centre until 4 p.m. today and from 9 to 11:30 a.m. tomorrow. https://t.co/wRnrrbudwo"
"504","1418","tomorrow","211","Date","Extra doses of the Moderna vaccine are available to #WesternU students, employees and alumni for walk-in appointments at the on-campus vaccination and testing centre until 4 p.m. today and from 9 to 11:30 a.m. tomorrow. https://t.co/wRnrrbudwo"
"505","1419","fall","145","Date","#WesternU is surveying the campus community to gauge vaccination rates and inform health and safety measures as the university prepares for the fall term. Survey will be sent to students, faculty and staff. #COVID19 #CovidVaccine #BacktoSchool2021 https://t.co/oSDJ72HEgb"
"506","1419","BacktoSchool2021","232","Date","#WesternU is surveying the campus community to gauge vaccination rates and inform health and safety measures as the university prepares for the fall term. Survey will be sent to students, faculty and staff. #COVID19 #CovidVaccine #BacktoSchool2021 https://t.co/oSDJ72HEgb"
"507","142","Ward","22","Person","#WesternU alum Kadie Ward lived and worked in #Ukraine from 2012 to 2019 supporting its economic development. She offers her take on the West's role in supporting Ukraine's fight to preserve its democracy. @kadiejeanward #UkraineInvasion https://t.co/cqfaYpz2Pe"
"508","142","2012 to 2019","61","Date","#WesternU alum Kadie Ward lived and worked in #Ukraine from 2012 to 2019 supporting its economic development. She offers her take on the West's role in supporting Ukraine's fight to preserve its democracy. @kadiejeanward #UkraineInvasion https://t.co/cqfaYpz2Pe"
"509","1420","Nicole Goodman","54","Person","Opinion: Professors Aleksander Essex (@westernu) and Nicole Goodman (@brocku) – “Now is the time to regulate voting technologies in Canada” https://t.co/HxnEpx1XGE"
"510","1420","Essex","32","Location","Opinion: Professors Aleksander Essex (@westernu) and Nicole Goodman (@brocku) – “Now is the time to regulate voting technologies in Canada” https://t.co/HxnEpx1XGE"
"511","1421","Graphic Services","186","Organization","Starting today, #WesternU students and employees can book an appointment online for their first and second #COVID19 vaccine doses at the on-campus vaccination and testing centre in the Graphic Services Building. https://t.co/wRnrrbudwo"
"512","1421","today","10","Date","Starting today, #WesternU students and employees can book an appointment online for their first and second #COVID19 vaccine doses at the on-campus vaccination and testing centre in the Graphic Services Building. https://t.co/wRnrrbudwo"
"513","1423","Canada","154","Location","The legacy of this history is reflected in the ongoing racism, inequities and discrimination experienced by so many. 
 
On #EmancipationDay we recognize Canada was built by enslaved Black and Indigenous Peoples on stolen land."
"514","1424","Canadian House of Commons","50","Organization","Today marks the first #EmancipationDay since the Canadian House of Commons passed a bill to recognize the anniversary of the abolition of slavery in the British Empire. Today, we reflect on the history of enslaving Black and Indigenous Peoples in Canada. https://t.co/ipV03XlCkD"
"515","1424","Today","1","Date","Today marks the first #EmancipationDay since the Canadian House of Commons passed a bill to recognize the anniversary of the abolition of slavery in the British Empire. Today, we reflect on the history of enslaving Black and Indigenous Peoples in Canada. https://t.co/ipV03XlCkD"
"516","1424","Today","170","Date","Today marks the first #EmancipationDay since the Canadian House of Commons passed a bill to recognize the anniversary of the abolition of slavery in the British Empire. Today, we reflect on the history of enslaving Black and Indigenous Peoples in Canada. https://t.co/ipV03XlCkD"
"517","1424","Canada","248","Location","Today marks the first #EmancipationDay since the Canadian House of Commons passed a bill to recognize the anniversary of the abolition of slavery in the British Empire. Today, we reflect on the history of enslaving Black and Indigenous Peoples in Canada. https://t.co/ipV03XlCkD"
"518","1425","Research","195","Organization","Indigenous entrepreneurs in Saskatchewan are taking charge of their destinies and finding success despite inequities, this is according to new research by #WesternU PhD graduate @kshtriya. @IveyResearch @miyosiwin @RezXMag @PasapaShana https://t.co/k0D5NZwnw5"
"519","1426","Tokyo2020","235","Date","Mental preparedness is key for #Olympic swimmer and #WesternU student @samanthaaa__r. Cheering for this Mustang athlete as she competes for her home country Antigua in the women's 50m freestyle at the #TokyoOlympics. #purpleandproud #Tokyo2020 https://t.co/Yc2c6YH4Aj"
"520","1427","Hi","16","Location","@jessicaltakes Hi there - we're sorry to hear this. Can you send us a DM with more details so that we can best support you?"
"521","1428","Taryn Taylor","236","Person","RT @LHSCCanada : Are you pregnant or breastfeeding and have questions about the COVID-19 vaccine? Thinking about having children in the future? We're partnering with @MLHealthUnit Friday for an Instagram Live Q&amp;A session with Drs. Taryn Taylor and Carol King from @WesternU! https://t.co/5jhOwpuxCJ"
"522","1428","Carol King","253","Person","RT @LHSCCanada : Are you pregnant or breastfeeding and have questions about the COVID-19 vaccine? Thinking about having children in the future? We're partnering with @MLHealthUnit Friday for an Instagram Live Q&amp;A session with Drs. Taryn Taylor and Carol King from @WesternU! https://t.co/5jhOwpuxCJ"
"523","1428","Friday","181","Date","RT @LHSCCanada : Are you pregnant or breastfeeding and have questions about the COVID-19 vaccine? Thinking about having children in the future? We're partnering with @MLHealthUnit Friday for an Instagram Live Q&amp;A session with Drs. Taryn Taylor and Carol King from @WesternU! https://t.co/5jhOwpuxCJ"
"524","143","Silicon Valley","118","Location","Four #WesternU students have been selected to the prestigious Cansbridge Fellowship program, receiving support for a Silicon Valley experience and summer internship in Asia. @cansbridgefwshp @AsiaPacificFdn @westernuEng @iveybusiness @westernuFIMS https://t.co/YNxMAUZ4vC"
"525","143","Asia","169","Location","Four #WesternU students have been selected to the prestigious Cansbridge Fellowship program, receiving support for a Silicon Valley experience and summer internship in Asia. @cansbridgefwshp @AsiaPacificFdn @westernuEng @iveybusiness @westernuFIMS https://t.co/YNxMAUZ4vC"
"526","1430","Susan McNair","202","Person","We love watching #WesternU and #LdnOnt athletes at #Tokyo2020. Did you know that @TeamCanada's first gold medal went to Londoner Maggie Mac Neil? Congratulations @mags_swims26! And to Maggie's mom Dr. Susan McNair, faculty at @schulichmeddent &amp; #WesternU! https://t.co/hMVDZQHf9j"
"527","1431","University","64","Organization","RT @westernuAlumni : No one really knows how the apple tree on University Hill got there. During the early 1920s, the hill was cleared for landscaping yet you can see the small sapling in photos from the 1930s! 

(We don't recommend eating the ??)

??: @westernulibsarc, 1984 
#westernu #ldnont #tbt https://t.co/5NK5rdSk1A"
"528","1431","early 1920s","102","Date","RT @westernuAlumni : No one really knows how the apple tree on University Hill got there. During the early 1920s, the hill was cleared for landscaping yet you can see the small sapling in photos from the 1930s! 

(We don't recommend eating the ??)

??: @westernulibsarc, 1984 
#westernu #ldnont #tbt https://t.co/5NK5rdSk1A"
"529","1431","1930s","205","Date","RT @westernuAlumni : No one really knows how the apple tree on University Hill got there. During the early 1920s, the hill was cleared for landscaping yet you can see the small sapling in photos from the 1930s! 

(We don't recommend eating the ??)

??: @westernulibsarc, 1984 
#westernu #ldnont #tbt https://t.co/5NK5rdSk1A"
"530","1431","1984","272","Date","RT @westernuAlumni : No one really knows how the apple tree on University Hill got there. During the early 1920s, the hill was cleared for landscaping yet you can see the small sapling in photos from the 1930s! 

(We don't recommend eating the ??)

??: @westernulibsarc, 1984 
#westernu #ldnont #tbt https://t.co/5NK5rdSk1A"
"531","1432","Globe","1","Organization","Globe &amp; Mail opinion piece by Western faculty on the importance of government-mandated COVID-19 vaccination. https://t.co/wnOP2xOt25"
"532","1433","today","53","Date","In the event that we reach audience capacity during today's memorial honouring Madiha Salman and Salman Afzaal, we have added a second streaming option to offer additional space.
Option 1??(Original): https://t.co/xB2pWVAOZ6
Option 2??(Additional): https://t.co/9653x0XnKO https://t.co/XY3GSrFU2d"
"533","1434","Samantha Roberts","89","Person","Let's go, Mustangs! Julie-Anne Staehli (@jastaehli, track and field, women’s 5000m) and Samantha Roberts (@samanthaaa__r, swimming, women's 50m freestyle) are both scheduled to compete in Tokyo tomorrow morning! #purpleandproud https://t.co/RBQ1SgJ2PO"
"534","1434","tomorrow","195","Date","Let's go, Mustangs! Julie-Anne Staehli (@jastaehli, track and field, women’s 5000m) and Samantha Roberts (@samanthaaa__r, swimming, women's 50m freestyle) are both scheduled to compete in Tokyo tomorrow morning! #purpleandproud https://t.co/RBQ1SgJ2PO"
"535","1434","Tokyo","189","Location","Let's go, Mustangs! Julie-Anne Staehli (@jastaehli, track and field, women’s 5000m) and Samantha Roberts (@samanthaaa__r, swimming, women's 50m freestyle) are both scheduled to compete in Tokyo tomorrow morning! #purpleandproud https://t.co/RBQ1SgJ2PO"
"536","1436","IOS","206","Organization","RT @westernuAlumni : ?? New #PurplePerk alert! ?? 

Western grads can now save 20% off online orders of fresh, local Fire Roasted Coffee! 

Download the Purple Perk app for the discount code, available on IOS and Google Play. 
#westernu #purpleandproud #ldnont"
"537","1438","Taylor","222","Person","RT @MLHealthUnit : Are you pregnant or breastfeeding and have questions about the COVID-19 vaccine? Thinking about having children in the future? 

Join us next Friday for an Instagram Live Q&amp;A session with Dr. Taryn Taylor and Dr. Carol King from @LHSCCanada &amp; @WesternU. #LdnOnt #Middlesex /1"
"538","1438","Dr. Carol King","233","Person","RT @MLHealthUnit : Are you pregnant or breastfeeding and have questions about the COVID-19 vaccine? Thinking about having children in the future? 

Join us next Friday for an Instagram Live Q&amp;A session with Dr. Taryn Taylor and Dr. Carol King from @LHSCCanada &amp; @WesternU. #LdnOnt #Middlesex /1"
"539","1438","Friday","162","Date","RT @MLHealthUnit : Are you pregnant or breastfeeding and have questions about the COVID-19 vaccine? Thinking about having children in the future? 

Join us next Friday for an Instagram Live Q&amp;A session with Dr. Taryn Taylor and Dr. Carol King from @LHSCCanada &amp; @WesternU. #LdnOnt #Middlesex /1"
"540","1439","Tokyo2020","222","Date","""Ambassador, mascot - whatever the team needs"" - @MarnieMcB on being @TeamCanada's chef de mission. We are #purpleandproud to see Marnie and @DShoemaker_COC (both @westernuAlumni!) playing key roles vaulting athletes to #Tokyo2020 success this summer! https://t.co/3bgqQIUaAl"
"541","1439","this summer","240","Date","""Ambassador, mascot - whatever the team needs"" - @MarnieMcB on being @TeamCanada's chef de mission. We are #purpleandproud to see Marnie and @DShoemaker_COC (both @westernuAlumni!) playing key roles vaulting athletes to #Tokyo2020 success this summer! https://t.co/3bgqQIUaAl"
"542","144","Paul Frewen","23","Person","RT @SchulichMedDent : Paul Frewen, PhD, is working to test real-time, 360-degree virtual teaching – allowing students to virtually attend classes or labs. It’s one of a series of projects tapping into the unique @Bell @WesternU 5G network. Via @LdnIncMag

https://t.co/XvnQKTSz5J"
"543","1440","Global Meteor Network","1","Organization","Global Meteor Network is a collection of more than 450 video meteor cameras hosted by amateur astronomers and professionals alike in 23 countries across the globe. Led by @meteordoc, the network is making incredible discoveries and cool pics too! https://t.co/PwMoB5WvDX"
"544","1441","Thursday","174","Date","#WesternU will host and livestream a memorial service to honour the lives of alumni Madiha Salman and Salman Afzaal and their family. Join our community in remembrance this Thursday, July 29 from 1 to 2 p.m. on Zoom."
"545","1443","Mary Simon","20","Person","We are celebrating Mary Simon, Inuk leader and Canada's first Indigenous Governor General. In the year of #Canada150, Ms. Simon spoke to our Class of 2017 and her calls to action continue to guide us towards a stronger, more equitable Canada. #GG30 https://t.co/EXdcEvrobb"
"546","1443","Ms. Simon","119","Person","We are celebrating Mary Simon, Inuk leader and Canada's first Indigenous Governor General. In the year of #Canada150, Ms. Simon spoke to our Class of 2017 and her calls to action continue to guide us towards a stronger, more equitable Canada. #GG30 https://t.co/EXdcEvrobb"
"547","1443","Canada","48","Location","We are celebrating Mary Simon, Inuk leader and Canada's first Indigenous Governor General. In the year of #Canada150, Ms. Simon spoke to our Class of 2017 and her calls to action continue to guide us towards a stronger, more equitable Canada. #GG30 https://t.co/EXdcEvrobb"
"548","1443","Canada","236","Location","We are celebrating Mary Simon, Inuk leader and Canada's first Indigenous Governor General. In the year of #Canada150, Ms. Simon spoke to our Class of 2017 and her calls to action continue to guide us towards a stronger, more equitable Canada. #GG30 https://t.co/EXdcEvrobb"
"549","1446","this summer","26","Date","Catch some great stories this summer from Labatt Memorial Park, the oldest ball field in the world. #WesternU historians are co-leading guided tours recalling home runs, floods and Hall of Famers. #ldnont @tourism_london @londonmajors @CDNBaseballHOF https://t.co/e8W6L1Au1y"
"550","1446","://t.co/e8W6L1Au1y","257","Date","Catch some great stories this summer from Labatt Memorial Park, the oldest ball field in the world. #WesternU historians are co-leading guided tours recalling home runs, floods and Hall of Famers. #ldnont @tourism_london @londonmajors @CDNBaseballHOF https://t.co/e8W6L1Au1y"
"551","1446","Labatt Memorial Park","43","Location","Catch some great stories this summer from Labatt Memorial Park, the oldest ball field in the world. #WesternU historians are co-leading guided tours recalling home runs, floods and Hall of Famers. #ldnont @tourism_london @londonmajors @CDNBaseballHOF https://t.co/e8W6L1Au1y"
"552","1449","Friday","8","Date","#FollowFriday Western at the Olympics edition! @MarnieMcB @conort22 @jastaehli @jillmoffatt_ @Suse3 @jmartins2014 @westernuOlympic @CBCScottRussell @adriearsenault @cbchh @DShoemaker_COC @Darvill_rowing @ibrambell @mhirst23 @DamianWarner Go Stangs! Go #LdnOnt! Go #TeamCanada!"
"553","1449","@jmartins2014","101","Date","#FollowFriday Western at the Olympics edition! @MarnieMcB @conort22 @jastaehli @jillmoffatt_ @Suse3 @jmartins2014 @westernuOlympic @CBCScottRussell @adriearsenault @cbchh @DShoemaker_COC @Darvill_rowing @ibrambell @mhirst23 @DamianWarner Go Stangs! Go #LdnOnt! Go #TeamCanada!"
